route_id,system_a_id,system_a_name,system_b_id,system_b_name,cluster_a,cluster_b,route_class,baseline_status,priority_travel_band,civilian_travel_band,source,narrative_note
RT-0154,F05-13,Pavoorn,F05-14,Merekor,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0155,F05-14,Merekor,F05-15,Arelor,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0156,F06-01,Galena,F06-02,Tavaer,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0157,F06-10,Peraor,F06-01,Galena,Red Wake,Red Wake,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0158,F06-15,Wrenune,F06-01,Galena,Red Wake,Red Wake,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0159,F06-02,Tavaer,F06-03,Esener,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0160,F06-03,Esener,F06-04,Karaara,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0161,F06-04,Karaara,F06-05,Ivenadia,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0162,F06-10,Peraor,F06-04,Karaara,Red Wake,Red Wake,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0163,F06-05,Ivenadia,F06-06,Wrener,Red Wake,Red Wake,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0164,F06-10,Peraor,F06-05,Ivenadia,Red Wake,Red Wake,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0165,F06-06,Wrener,F06-07,Miraune,Red Wake,Red Wake,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0166,F06-07,Miraune,F06-08,Sorinessa,Red Wake,Red Wake,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0167,F06-10,Peraor,F06-07,Miraune,Red Wake,Red Wake,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0168,F06-08,Sorinessa,F06-09,Garoiel,Red Wake,Red Wake,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0169,F06-09,Garoiel,F06-10,Peraor,Red Wake,Red Wake,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0170,F06-10,Peraor,F06-11,Sorinara,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0171,F06-10,Peraor,F06-13,Kestorn,Red Wake,Red Wake,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0172,F06-10,Peraor,F06-14,Kestora,Red Wake,Red Wake,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Red Wake gateway access
RT-0173,F06-10,Peraor,F07-13,Seraadia,Red Wake,Blue Mercy,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Fuel and rescue route
RT-0174,F06-10,Peraor,F20-12,Bexis,Red Wake,Grey Current,cross frontier,damaged,2–8 days when open,5–30 days or longer,cluster backbone,Denial-war corridor
RT-0175,M09-10,Garoeth,F06-10,Peraor,Varka Passage,Red Wake,frontier bridge,restricted,1–5 days,3–18 days plus authorization delay,cluster backbone,Independence route
RT-0176,F06-11,Sorinara,F06-12,Perais,Red Wake,Red Wake,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0177,F06-12,Perais,F06-13,Kestorn,Red Wake,Red Wake,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0178,F06-13,Kestorn,F06-14,Kestora,Red Wake,Red Wake,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0179,F06-14,Kestora,F06-15,Wrenune,Red Wake,Red Wake,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Red Wake local continuity route
RT-0180,F07-01,Velaor,F07-02,Ossaum,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0181,F07-13,Seraadia,F07-01,Velaor,Blue Mercy,Blue Mercy,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Blue Mercy gateway access
RT-0182,F07-15,Garoune,F07-01,Velaor,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0183,F07-02,Ossaum,F07-03,Erisen,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0184,F07-03,Erisen,F07-04,Haleor,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0185,F07-04,Haleor,F07-05,Rinyr,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0186,F07-13,Seraadia,F07-04,Haleor,Blue Mercy,Blue Mercy,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Blue Mercy gateway access
RT-0187,F07-05,Rinyr,F07-06,Rinara,Blue Mercy,Blue Mercy,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0188,F07-06,Rinara,F07-07,Cororn,Blue Mercy,Blue Mercy,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0189,F07-07,Cororn,F07-08,Galenan,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0190,F07-13,Seraadia,F07-07,Cororn,Blue Mercy,Blue Mercy,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Blue Mercy gateway access
RT-0191,F07-08,Galenan,F07-09,Faroeth,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0192,F07-09,Faroeth,F07-10,Esenune,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0193,F07-10,Esenune,F07-11,Sorinum,Blue Mercy,Blue Mercy,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0194,F07-13,Seraadia,F07-10,Esenune,Blue Mercy,Blue Mercy,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Blue Mercy gateway access
RT-0195,F07-11,Sorinum,F07-12,Orines,Blue Mercy,Blue Mercy,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0196,F07-12,Orines,F07-13,Seraadia,Blue Mercy,Blue Mercy,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0197,F07-13,Seraadia,F07-14,Arelos,Blue Mercy,Blue Mercy,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0198,F07-13,Seraadia,F08-13,Hession,Blue Mercy,Hollow Lantern,frontier regional,stable,1–4 days,2–14 days,cluster backbone,Medical/frontier link
RT-0199,M05-01,Ravelan,F07-13,Seraadia,Glasswater,Blue Mercy,frontier bridge,stable,1–5 days,3–18 days,cluster backbone,Medical/rescue link
RT-0200,F07-14,Arelos,F07-15,Garoune,Blue Mercy,Blue Mercy,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Blue Mercy local continuity route
RT-0201,F08-01,Amonor,F08-02,Esenos,Hollow Lantern,Hollow Lantern,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0202,F08-13,Hession,F08-01,Amonor,Hollow Lantern,Hollow Lantern,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Hollow Lantern gateway access
RT-0203,F08-15,Kestia,F08-01,Amonor,Hollow Lantern,Hollow Lantern,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0204,F08-02,Esenos,F08-03,Velaara,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0205,F08-03,Velaara,F08-04,Haleeon,Hollow Lantern,Hollow Lantern,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0206,F08-13,Hession,F08-03,Velaara,Hollow Lantern,Hollow Lantern,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Hollow Lantern gateway access
RT-0207,F08-04,Haleeon,F08-05,Ravelas,Hollow Lantern,Hollow Lantern,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0208,F08-13,Hession,F08-04,Haleeon,Hollow Lantern,Hollow Lantern,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Hollow Lantern gateway access
RT-0209,F08-05,Ravelas,F08-06,Torenara,Hollow Lantern,Hollow Lantern,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0210,F08-06,Torenara,F08-07,Faroes,Hollow Lantern,Hollow Lantern,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0211,F08-07,Faroes,F08-08,Erisa,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0212,F08-13,Hession,F08-07,Faroes,Hollow Lantern,Hollow Lantern,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Hollow Lantern gateway access
RT-0213,F08-08,Erisa,F08-09,Amonadia,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0214,F08-09,Amonadia,F08-10,Letoin,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0215,F08-10,Letoin,F08-11,Darineth,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0216,F08-13,Hession,F08-10,Letoin,Hollow Lantern,Hollow Lantern,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Hollow Lantern gateway access
RT-0217,F08-11,Darineth,F08-12,Lioraia,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0218,F08-12,Lioraia,F08-13,Hession,Hollow Lantern,Hollow Lantern,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0219,F08-13,Hession,F08-14,Xaroora,Hollow Lantern,Hollow Lantern,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0220,F08-13,Hession,F09-12,Miraa,Hollow Lantern,Drift Crown,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Mobile habitat route
RT-0221,F08-14,Xaroora,F08-15,Kestia,Hollow Lantern,Hollow Lantern,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Hollow Lantern local continuity route
RT-0222,F09-01,Navaara,F09-02,Noxeth,Drift Crown,Drift Crown,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0223,F09-12,Miraa,F09-01,Navaara,Drift Crown,Drift Crown,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Drift Crown gateway access
RT-0224,F09-15,Galenessa,F09-01,Navaara,Drift Crown,Drift Crown,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0225,F09-02,Noxeth,F09-03,Darinum,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0226,F09-03,Darinum,F09-04,Zarekes,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0227,F09-04,Zarekes,F09-05,Joraer,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0228,F09-12,Miraa,F09-04,Zarekes,Drift Crown,Drift Crown,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Drift Crown gateway access
RT-0229,F09-05,Joraer,F09-06,Darinor,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0230,F09-06,Darinor,F09-07,Wrenion,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0231,F09-07,Wrenion,F09-08,Karaa,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0232,F09-12,Miraa,F09-07,Wrenion,Drift Crown,Drift Crown,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Drift Crown gateway access
RT-0233,F09-08,Karaa,F09-09,Halear,Drift Crown,Drift Crown,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0234,F09-09,Halear,F09-10,Garoadia,Drift Crown,Drift Crown,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0235,F09-10,Garoadia,F09-11,Orinorn,Drift Crown,Drift Crown,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0236,F09-12,Miraa,F09-10,Garoadia,Drift Crown,Drift Crown,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Drift Crown gateway access
RT-0237,F09-11,Orinorn,F09-12,Miraa,Drift Crown,Drift Crown,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0238,F09-12,Miraa,F09-13,Pavoan,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0239,F09-12,Miraa,F10-13,Ivena,Drift Crown,Salt Nebula,frontier regional,intermittent,1–4 days when open,2–14 days or longer,cluster backbone,Difficult sensor region
RT-0240,F09-13,Pavoan,F09-14,Seraum,Drift Crown,Drift Crown,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0241,F09-14,Seraum,F09-15,Galenessa,Drift Crown,Drift Crown,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Drift Crown local continuity route
RT-0242,F10-01,Tavaorn,F10-02,Iriayr,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0243,F10-13,Ivena,F10-01,Tavaorn,Salt Nebula,Salt Nebula,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0244,F10-15,Torenune,F10-01,Tavaorn,Salt Nebula,Salt Nebula,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0245,F10-02,Iriayr,F10-03,Tavaune,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0246,F10-03,Tavaune,F10-04,Veyion,Salt Nebula,Salt Nebula,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0247,F10-04,Veyion,F10-05,Garoen,Salt Nebula,Salt Nebula,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0248,F10-13,Ivena,F10-04,Veyion,Salt Nebula,Salt Nebula,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0249,F10-05,Garoen,F10-06,Rinin,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0250,F10-13,Ivena,F10-05,Garoen,Salt Nebula,Salt Nebula,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0251,F10-06,Rinin,F10-07,Uleneon,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0252,F10-07,Uleneon,F10-08,Pavoadia,Salt Nebula,Salt Nebula,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0253,F10-13,Ivena,F10-07,Uleneon,Salt Nebula,Salt Nebula,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0254,F10-08,Pavoadia,F10-09,Jorain,Salt Nebula,Salt Nebula,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0255,F10-09,Jorain,F10-10,Orinora,Salt Nebula,Salt Nebula,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0256,F10-10,Orinora,F10-11,Garoor,Salt Nebula,Salt Nebula,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0257,F10-13,Ivena,F10-10,Orinora,Salt Nebula,Salt Nebula,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0258,F10-11,Garoor,F10-12,Arelia,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0259,F10-12,Arelia,F10-13,Ivena,Salt Nebula,Salt Nebula,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0260,F10-13,Ivena,F10-14,Haleora,Salt Nebula,Salt Nebula,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0261,F10-13,Ivena,F10-15,Torenune,Salt Nebula,Salt Nebula,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Salt Nebula gateway access
RT-0262,F10-13,Ivena,F11-02,Karaeth,Salt Nebula,Pilgrim Coil,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Travel-family route
RT-0263,F10-14,Haleora,F10-15,Torenune,Salt Nebula,Salt Nebula,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Salt Nebula local continuity route
RT-0264,F11-01,Caelum,F11-02,Karaeth,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0265,F11-15,Erisune,F11-01,Caelum,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0266,F11-02,Karaeth,F11-03,Cores,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0267,F11-02,Karaeth,F11-04,Ivenia,Pilgrim Coil,Pilgrim Coil,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Pilgrim Coil gateway access
RT-0268,F11-02,Karaeth,F11-07,Joraorn,Pilgrim Coil,Pilgrim Coil,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Pilgrim Coil gateway access
RT-0269,F11-02,Karaeth,F11-10,Veyadia,Pilgrim Coil,Pilgrim Coil,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Pilgrim Coil gateway access
RT-0270,F11-02,Karaeth,F11-13,Ossaor,Pilgrim Coil,Pilgrim Coil,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Pilgrim Coil gateway access
RT-0271,F11-02,Karaeth,F11-15,Erisune,Pilgrim Coil,Pilgrim Coil,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Pilgrim Coil gateway access
RT-0272,F11-02,Karaeth,F12-11,Letoia,Pilgrim Coil,Broken Loom,frontier regional,stable,1–4 days,2–14 days,cluster backbone,Mobile fabrication route
RT-0273,M07-06,Corune,F11-02,Karaeth,Tern Relay,Pilgrim Coil,frontier bridge,restricted,1–5 days,3–18 days plus authorization delay,cluster backbone,Mobile-family route
RT-0274,F11-03,Cores,F11-04,Ivenia,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0275,F11-04,Ivenia,F11-05,Iriaessa,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0276,F11-05,Iriaessa,F11-06,Queniel,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0277,F11-06,Queniel,F11-07,Joraorn,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0278,F11-07,Joraorn,F11-08,Eseneth,Pilgrim Coil,Pilgrim Coil,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0279,F11-08,Eseneth,F11-09,Peraa,Pilgrim Coil,Pilgrim Coil,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0280,F11-09,Peraa,F11-10,Veyadia,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0281,F11-10,Veyadia,F11-11,Karaor,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0282,F11-11,Karaor,F11-12,Demeune,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0283,F11-12,Demeune,F11-13,Ossaor,Pilgrim Coil,Pilgrim Coil,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0284,F11-13,Ossaor,F11-14,Faroor,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0285,F11-14,Faroor,F11-15,Erisune,Pilgrim Coil,Pilgrim Coil,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Pilgrim Coil local continuity route
RT-0286,F12-01,Ossaia,F12-02,Seraora,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0287,F12-11,Letoia,F12-01,Ossaia,Broken Loom,Broken Loom,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Broken Loom gateway access
RT-0288,F12-15,Ravelin,F12-01,Ossaia,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0289,F12-02,Seraora,F12-03,Erisar,Broken Loom,Broken Loom,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0290,F12-03,Erisar,F12-04,Yvena,Broken Loom,Broken Loom,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0291,F12-04,Yvena,F12-05,Mereken,Broken Loom,Broken Loom,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0292,F12-11,Letoia,F12-04,Yvena,Broken Loom,Broken Loom,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Broken Loom gateway access
RT-0293,F12-05,Mereken,F12-06,Lioraadia,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0294,F12-06,Lioraadia,F12-07,Halea,Broken Loom,Broken Loom,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0295,F12-07,Halea,F12-08,Ossaara,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0296,F12-11,Letoia,F12-07,Halea,Broken Loom,Broken Loom,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Broken Loom gateway access
RT-0297,F12-08,Ossaara,F12-09,Torenes,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0298,F12-09,Torenes,F12-10,Peraos,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0299,F12-10,Peraos,F12-11,Letoia,Broken Loom,Broken Loom,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0300,F12-11,Letoia,F12-12,Veyan,Broken Loom,Broken Loom,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0301,F12-11,Letoia,F12-13,Sorinan,Broken Loom,Broken Loom,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Broken Loom gateway access
RT-0302,F12-11,Letoia,F13-10,Orinas,Broken Loom,Cold Orchard,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Parts and food route
RT-0303,M11-10,Amonin,F12-11,Letoia,Thorn Foundry,Broken Loom,frontier bridge,stable,1–5 days,3–18 days,cluster backbone,Fabrication link
RT-0304,F12-12,Veyan,F12-13,Sorinan,Broken Loom,Broken Loom,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0305,F12-13,Sorinan,F12-14,Garoas,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0306,F12-14,Garoas,F12-15,Ravelin,Broken Loom,Broken Loom,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Broken Loom local continuity route
RT-0307,F13-01,Corer,F13-02,Queneth,Cold Orchard,Cold Orchard,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Cold Orchard local continuity route
