"slot_id","lineage_id","record_type","formal_code","working_name_en","working_name_ko","story_anchor","canon_basis_type","canon_basis_ref","first_reveal_window","reader_tier","role","silhouette_key","chassis_evidence","major_system_changes","scale_band","cradle_and_carrier","cooling_and_recovery","maintenance_band","primary_tool_or_weapon","tech_basis","discovery_clue","acquisition_gate","synergy_partner","completion_legacy","counter_collection_risk","loss_cost","evolution_relation","canon_status","name_clearance","canon_promotion"
"M-026","L07","CHASSIS_SLOT","CS-IV-23.1","QUORIN","쿼린","GA8_GA9_CONTINUITY_EXPLORATION_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","GA8_REUSE_GA9","SUPPORT","archive isolation and counter-interface","shuttered face|offset spine|segmented tool cuffs","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CONTINUITY_SECURE_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","sealed sensor loop|custody-yard recovery","CANON_4_12_EXACT_ROLE_HOLD","hardline data couplers|contact sensor probes","EXISTING_PHYSICAL_DATA_TOOLSET_PROPOSED","segmented cuffs reveal a tool-led rather than weapon-led role","archive authority|specialist crew|sealed data chain","DRASEL custody|NALETH local provenance","verified disagreement remains in a plural archive","network lockout|specialist coercion|chain forgery","network lockout|institutional fracture","INHERIT_DRASEL_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-027","L08","RESERVE_SLOT","LFX-01","AXIOM","액시엄","USER_SELECTED_NONCANON_LEGACY_DIRECTION","USER_WORKING_DIRECTION_NO_CANON_EVENT","docs/06_hardware/lfx-01-axiom-visual-development-orchestra-audit-v1.md:26","HOLD","HOLD_FRONT","separate legacy-machine reserve","broken shear line|dual eyes|compact armored neck|asymmetric notch","HOLD_UNTIL_AUTHOR_STORY_DECISION","HOLD","HOLD","DEDICATED_LEGACY_CRADLE_HOLD|NOT_FIRST_SHIP_CARRIED","cooling and recovery HOLD","MAINTENANCE_ECOLOGY_HOLD","physical sword candidate|carbine candidate","HOLD_NEW_TECH_AND_WEAPON_APPROVAL","visual artifact and missing support ecology only","author-approved story slot|pilot authority|maintenance ecology|dedicated cradle","synergy partner HOLD","completion and legacy HOLD; cannot absorb 07 public-service ending","enemy capture and counterfeit rights HOLD","irreplaceable parts|pilot burden|permanent loss required","BASE_LEGACY_CANDIDATE","HOLD_AUTHOR_DECISION","PUBLIC_NAME_HOLD_SOVEREIGN_AXIOM_DISTANCE","NONE"
"M-028","L08","RESERVE_SLOT","HOLD","[UNNAMED]","[미정]","POSSIBLE_TRUE_SUCCESSOR_RESERVE_NO_CANON_EVENT","PURE_RESERVE_NO_CANON_BASIS","docs/06_hardware/mecha-lineage-mark-and-evolution-naming-system-v1.md:116","HOLD","HOLD_BACK","possible independent successor reserve","new silhouette required|max two inherited motifs after approval","HOLD_UNTIL_PREDECESSOR_AND_STORY_APPROVAL","HOLD","HOLD","DEDICATED_LEGACY_CRADLE_HOLD|NOT_FIRST_SHIP_CARRIED","cooling and recovery HOLD","MAINTENANCE_ECOLOGY_HOLD","weapon and mission unassigned","HOLD_NEW_TECH_AND_WEAPON_APPROVAL","no discovery clue until an approved event exists","new chassis|independent maintenance|independent loss path|author-approved event","synergy partner HOLD","cannot complete a lineage that has not entered canon","suffix-only upgrade falsely counted as successor","cannot exist as suffix-only upgrade|must survive originality gate","INHERITANCE_HOLD","HOLD_AUTHOR_DECISION","PUBLIC_NAME_HOLD","NONE"
"M-029","L01","CHASSIS_SLOT","AD-TR-6.2","KRAVEN","크라벤","GA2_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga2-e108-114-episode-cards-v1.md:191","GA2","SUPPORT","conversion training and handover instruction","narrow inspection core|large service hands|visible gantry voids","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","training clamps|dummy tool heads","EXISTING_CANON_TOOLSET","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","SOLVERN open-standard parts|TAVEN regional service","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-030","L01","CHASSIS_SLOT","AD-SL-7.1","PELDOR","펠도르","GA6_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga6-e585-590-episode-cards-v1.md:37","GA6","SUPPORT","wreck recovery and debris stabilisation","narrow inspection core|large service hands|visible gantry voids","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","WORK_FRAME_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","tow anchors|cutting arms","EXISTING_INDUSTRIAL_TOOLSET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","BRASK salvage breach|MENDRA medical transfer","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-031","L02","CHASSIS_SLOT","IR-A15-01","GARNIS","가르니스","GA1_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/ga1-episodes-27-32-scene-cards-v1.md:52","GA1 E21-100","SUPPORT","perimeter patrol and route inspection","low roof sensor|inverted-U chest arches|aligned knees and shoulders","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","standard rifle|inspection sensor","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","VARDEN fleet mass unit|CALDRIX formation command","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-032","L02","CHASSIS_SLOT","IR-M29-01","VULTREN","불트렌","GA5_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga5-e451-457-episode-cards-v1.md:138","GA5","SUPPORT","fleet manoeuvre escort","low roof sensor|inverted-U chest arches|aligned knees and shoulders","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","escort rifle|decoy cells","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","CALDRIX formation command|TALVOR heavy breach","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-033","L02","CHASSIS_SLOT","IR-S33-01","KOLTAN","콜탄","GA4_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga4-e354-355-episode-cards-v1.md:68","GA4","SUPPORT","succession ceremony guard and urban restraint","low roof sensor|inverted-U chest arches|aligned knees and shoulders","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","restraint booms|shield panels","EXISTING_CONVENTIONAL_SECURITY_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","ORDRIC guard interception|BRAVIK local restraint","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-034","L03","CHASSIS_SLOT","HX/CT-07.C4","PHRAXIS","프락시스","GA2_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga2-e101-107-episode-cards-v1.md:482","GA2","SUPPORT","certification inspection escort and seal enforcement","truncated hex sensor cassette|three joined service cells|60-degree inspection windows","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","seal applicators|inspection probes","EXISTING_CUSTODY_AND_SECURITY_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","KELTIS evidence capture|HEXAR facility security","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-035","L03","CHASSIS_SLOT","HX/LG-25.C6","HULDIC","훌딕","GA6_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga6-e571-577-episode-cards-v1.md:41","GA6","SUPPORT","contract logistics escort","truncated hex sensor cassette|three joined service cells|60-degree inspection windows","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","convoy rifle|cargo clamps","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","NACEL service relay|ROUNEL corridor safety","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-036","L04","CHASSIS_SLOT","AD-EV-13.1","EMBRIL","엠브릴","GA6_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga6-e571-577-episode-cards-v1.md:4","GA6","SUPPORT","evacuation guidance and crowd control","low wedge head|horizontal shoulder beam|open central maintenance bay","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","guidance beacons|soft barriers","EXISTING_COMMUNICATION_AND_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","ARVET civilian search|MENDRA medical transfer","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-037","L04","CHASSIS_SLOT","AD-MN-18.2","WISKAR","위스카르","GA5_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga5-e458-464-episode-cards-v1.md:62","GA5","SUPPORT","mining and resource extraction","low wedge head|horizontal shoulder beam|open central maintenance bay","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","WORK_FRAME_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","drill heads|ore clamps","EXISTING_INDUSTRIAL_TOOLSET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","TORREL industrial work|CENVAR relay construction","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-038","L04","CHASSIS_SLOT","AD-CV-20.1","URDAL","우르달","GA10_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga10-e1001-1010-episode-cards-v1.md:16","GA10","SUPPORT","urban disaster response and firefighting","low wedge head|horizontal shoulder beam|open central maintenance bay","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","WORK_FRAME_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","foam lances|breaching tools","EXISTING_INDUSTRIAL_TOOLSET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","BRAVIK local defense|TORREL industrial work","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-039","L05","CHASSIS_SLOT","NA-TR-9-04","LUNVAR","룬바르","GA7_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga7-e691-697-episode-cards-v1.md:33","GA7","SUPPORT","long-range patient transfer","head protected inside collar|C-shaped shoulder voids|rescue channel through torso","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HEAVY_14_20M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","stretcher cradles|life-support umbilicals","EXISTING_CANON_TOOLSET","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","MENDRA medical transfer|ROUNEL corridor safety","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-040","L05","CHASSIS_SLOT","NA-QR-12-01","PORVENN","포르벤","GA8_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga8-e801-810-episode-cards-v1.md:311","GA8","SUPPORT","quarantine and isolated transfer","head protected inside collar|C-shaped shoulder voids|rescue channel through torso","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","sealed pods|decontamination arms","EXISTING_CUSTODY_AND_SECURITY_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","MENDRA medical transfer|QUORIN counter-interface","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-041","L06","CHASSIS_SLOT","BRN-09/B1","SKALT","스칼트","GA3_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga3-e227-235-episode-cards-v1.md:176","GA3","SUPPORT","captured-hull conversion assault","donor-frame scars|asymmetrical thermal coat|manual backup links","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","mismatched rifle|manual breach bar","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","KORVAN ambush extraction|DELVRIK record recovery","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-042","L06","CHASSIS_SLOT","BRN-27/B4","YARNIC","야르닉","GA5_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga5-e458-464-episode-cards-v1.md:71","GA5","SUPPORT","wreck breaking and part recovery","donor-frame scars|asymmetrical thermal coat|manual backup links","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HEAVY_14_20M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","shear jaws|magnet racks","EXISTING_INDUSTRIAL_TOOLSET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","BRASK salvage breach|TORREL industrial work","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-043","L06","CHASSIS_SLOT","BRN-41/B6","HALDRE","할드레","GA7_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga7-e691-697-episode-cards-v1.md:6","GA7","SUPPORT","long-endurance frontier patrol","donor-frame scars|asymmetrical thermal coat|manual backup links","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","patrol rifle|extended tankage","EXISTING_CONVENTIONAL_WEAPON_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","KORVAN route denial|NALETH provenance mapping","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-044","L07","CHASSIS_SLOT","CS-AU-27.3","ISKOL","이스콜","GA8_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga8-e801-810-episode-cards-v1.md:7","GA8","SUPPORT","audit escort and evidence verification","layered provenance plates|recessed sensor shutters|offset data spine","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","provenance readers|sealed lockers","EXISTING_CUSTODY_AND_SECURITY_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","QUORIN archive isolation|DRASEL rapid response","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-045","L07","CHASSIS_SLOT","PS-D5-V18-C1","OCTALIS","옥탈리스","GA8_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga8-e826-835-episode-cards-v1.md:93","GA8","SUPPORT","archive-region local defense","layered provenance plates|recessed sensor shutters|offset data spine","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","defensive rifle|site anchors","EXISTING_EXPLORATION_TOOLSET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","NALETH provenance mapping|QUORIN archive isolation","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-046","L07","CHASSIS_SLOT","CS-XC-31.2","FENDRIC","펜드릭","GA10_ROLE_DEMAND_EXPANSION_D20260813_03","EXPLICIT_FRAMEWORK_SLOT","docs/10_story_architecture/detail/ga10-e1036-1043-episode-cards-v1.md:89","GA10","SUPPORT","record containment and counter-interface","layered provenance plates|recessed sensor shutters|offset data spine","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CLASS_CRADLE_PER_HULL_REGISTRY_PROPOSED|NOT_FIRST_SHIP_CARRIED","carrier umbilical cooling|tender recovery","CANON_4_12_EXACT_ROLE_HOLD","interface shutters|containment clamps","EXISTING_CUSTODY_AND_SECURITY_SET_PROPOSED","service marks and part sourcing reveal which lineage kept it running","operator assignment|certification|maintenance access","QUORIN counter-interface|DRASEL rapid response","the service record of the lineage outlives the individual machine","opponent studies the lineage interface and supply path","heat|parts|operator injury|role gap until replacement","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
