"demand_slot","capacity_state","demand_anchor","role_tier","faction_ecology","ga_window","mission_domain","sample_slot_ref","canon_role_refs","operation_refs","reviewed_reuse_candidates","reuse_assessment","reuse_failure_type","manufacturing_scale","major_system_change_claim","story_status_policy","named_hull_policy","parent_formation_ecology","support_ecology","reuse_or_model_reason","count_decision","canon_status","temporal_compatibility","functional_compatibility","cradle_compatibility","cooling_recovery_compatibility","canon_role_quote_token","operation_quote_token"
"FD-021","BASE_MODEL_CANDIDATE","ERN_RESPONSE_ANCHOR_RECORD_RECOVERY","CORE_ANTAGONIST_RIVAL","FRONTIER_ROUTE","GA1_TO_GA7","RIVAL_RESPONSE_RECOVERY","M-021","docs/05_characters/enemy-ace-e001-bible-v1.md:113","docs/05_characters/enemy-ace-e001-bible-v1.md:113","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|HEAT","HULL_INSTANCE_LEDGER_ONLY","FRONT_REQUIRED","IND_VRK_SOURCE_FORMATION","MODIFIED_CRADLE|SPARES|TOW","RECURRING_RIVAL_MODIFIED_INDUSTRIAL_LOAD_AND_RECOVERY_REQUIRE_DISTINCT_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- modified industrial-response frame with narrow profile, multiple anchor limbs/cables, white heat-resistant work coating partly stripped.","- modified industrial-response frame with narrow profile, multiple anchor limbs/cables, white heat-resistant work coating partly stripped."
"FD-022","BASE_MODEL_CANDIDATE","FRONTIER_AMBUSH_EXTRACTION_ROUTE_DENIAL","FACTION_SHARED","FRONTIER_ROUTE","GA2_TO_GA7","AMBUSH_EXTRACTION_DENIAL","M-022","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|PROPULSION|CONTROL","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","INDEPENDENCE_ROUTE_SOURCE_FORMATIONS","FRONTIER_CRADLE|AMMUNITION|TOW","LOW_INFRASTRUCTURE_AMBUSH_AND_EXTRACTION_REQUIRE_FRONTIER_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- industrial conversion, close infrastructure combat, extraction and local defense.","- industrial conversion, close infrastructure combat, extraction and local defense."
"FD-023","BASE_MODEL_CANDIDATE","FRONTIER_SALVAGE_BREACH_EMERGENCY_TOW","RECURRING_SUPPORT","FRONTIER_ROUTE","GA5_TO_GA7","SALVAGE_BREACH_TOW","M-023","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|HEAT|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","INDEPENDENCE_ROUTE_SOURCE_FORMATIONS","HEAVY_TOW|SPARES|RECOVERY","SALVAGE_CUTTING_AND_HEAVY_TOW_REQUIRE_SERVICE_LOAD_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- industrial conversion, close infrastructure combat, extraction and local defense.","- industrial conversion, close infrastructure combat, extraction and local defense."
"FD-024","BASE_MODEL_CANDIDATE","CONTINUITY_RAPID_RESPONSE_SEIZURE","CORE_ANTAGONIST_RIVAL","CONTINUITY_RECORD","GA4_TO_GA9","RAPID_RESPONSE_SEIZURE","M-024","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","CONTINUITY_SOURCE_FORMATIONS","SECURE_CRADLE|AUTHORITY|RECOVERY","AUTHENTICATED_SEIZURE_AND_CUSTODY_REQUIRE_DISTINCT_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- networked point defense, rapid response, infrastructure seizure and controlled technical operations.","- networked point defense, rapid response, infrastructure seizure and controlled technical operations."
"FD-025","BASE_MODEL_CANDIDATE","PALIMPSEST_LOCAL_EXPLORATION_PROVENANCE","IMPORTANT_EXTRA","CONTINUITY_RECORD","GA8_TO_GA10","EXPLORATION_PROVENANCE","M-025","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:402","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:402","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","JNT_REC_LOCAL_AND_SOURCE_POOLS","LOCAL_CRADLE|PROVENANCE_TEAM|RECOVERY","LOCAL_PROVENANCE_AND_FIELD_SERVICE_REQUIRE_REGIONAL_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 180–350 frames;","- 180–350 frames;"
"FD-026","BASE_MODEL_CANDIDATE","ARCHIVE_ISOLATION_COUNTER_INTERFACE","CORE_ANTAGONIST_RIVAL","CONTINUITY_RECORD","GA8_TO_GA9","ARCHIVE_ISOLATION_INTERFACE","M-026","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","JNT_REC_DECLARED_SOURCES","SECURE_CRADLE|DATA_CUSTODY|RECOVERY","SEALED_COUNTER_INTERFACE_AND_CUSTODY_REQUIRE_DISTINCT_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- networked point defense, rapid response, infrastructure seizure and controlled technical operations.","- networked point defense, rapid response, infrastructure seizure and controlled technical operations."
"FD-027","BASE_REUSE_PROFILE","GA1_07_LOW_POWER_TRAINING","FACTION_SHARED","ACADEMY_CHARTER","GA1_TO_GA3","SENSOR_TAG_TRAINING","NONE_NEW_GAP","docs/05_characters/instructor-i001-field-bible-v1.md:15","docs/03_systems/academy-and-07-opening-operational-state-v1.md:306","M-001","REUSE_AS_07_LOW_POWER_SENSOR_TAG_TRAINING_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","ACADEMY_TRAINING_SOURCE","FIRST_SHIP_PRIMARY_CRADLE_07_ONLY|MAINTAINERS|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","Role: field-training instructor and student-cell deployment officer","- sensor/tag/low-power training engagement."
"FD-028","BASE_REUSE_PROFILE","GA2_HALL_RESCUE_ROUTE_EVIDENCE_SUPPORT","RECURRING_SUPPORT","FIRST_SHIP","GA2","RESCUE_ROUTE_EVIDENCE","NONE_NEW_GAP","docs/05_characters/ga2-first-ship-crew-bible-v1.md:31","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:95","M-001","REUSE_AS_HALL_RESCUE_ROUTE_EVIDENCE_SUPPORT_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_HALL_02","FIRST_SHIP_PRIMARY_CRADLE_07_ONLY|MAINTAINERS|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","| Security/flight/frame operations | 8 | 15 | 7–10 |","| JNT-HALL-02 | 파루스 Mission Trust | mobile | 1 | 0–3 attached | 07 + 0–8 | R1–R3 | rescue, route and evidence missions | ship becomes school/rescue institution after GA6 |"
"FD-029","BASE_REUSE_PROFILE","GA3_ARDIS_UTILITY_INFRASTRUCTURE_SCREEN","RECURRING_SUPPORT","ARDIS_LOCAL","GA3","UTILITY_INFRASTRUCTURE_SUPPORT","NONE_NEW_GAP","docs/05_characters/ga3-ardis-front-stage-local-cast-e236-260-v1.md:28","docs/10_story_architecture/detail/ga3-e271-277-episode-cards-v1.md:83","M-014","REUSE_AS_ARDIS_UTILITY_INFRASTRUCTURE_SUPPORT_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_ARD_LOCAL_POOLS","WORK_CRADLE|TOOLS|TOW","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- Anchor Crown senior shift coordinator / traffic-and-service operations lead.","2. **Frame truth** — 28 ready military/security frames include incompatible weapons, police limits and contract restrictions; 64 utility frames can rescue, tow, screen and hold infrastructure but are not free combat mass."
"FD-030","BASE_REUSE_PROFILE","GA3_LOCAL_UTILITY_EXTERIOR_INSPECTION","RECURRING_SUPPORT","ARDIS_LOCAL","GA3","UTILITY_INSPECTION","NONE_NEW_GAP","docs/05_characters/ga3-ardis-front-stage-local-cast-e236-260-v1.md:255","docs/10_story_architecture/detail/ga3-e315-323-episode-cards-v1.md:216","M-014","REUSE_AS_LOCAL_UTILITY_EXTERIOR_INSPECTION_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","ARDIS_JOINT_DEFENSE_SOURCE_FORMATIONS","WORK_CRADLE|TOOLS|TOW","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- local utility-frame lead and exterior inspection operator.","1. **Defense screen** — Imperial task group, 7 local/mixed cutters, local frigate/corvettes, Helix security, armed tugs and utility/rescue units receive separate lanes and withdrawal/mission conditions."
"FD-031","BASE_REUSE_PROFILE","GA4_CLAIMANT_HOUSE_ESCORT_SERIES","FACTION_SHARED","IMPERIAL","GA4","CLAIMANT_ESCORT_LINE","NONE_NEW_GAP","docs/05_characters/ga4-frontstage-claimants-bible-v1.md:28","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:44","M-005|M-009","REUSE_AS_CLAIMANT_MARKING_AND_AUTHORITY_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","IMPERIAL_CLAIMANT_SOURCE_POOLS","FLEET_CRADLE|SUPPLY|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","Public role before crisis: royal representative, diplomatic/education/patronage office or provincial liaison—not idle court ornament","| IMP-CG-01 | Continuity Guard | Crown Meridian | 42 | 28 | 210 | R4 | L0 protection, succession continuity | GA4 | splits under contradictory authentic orders |"
"FD-032","BASE_REUSE_PROFILE","GA4_HOSPITAL_FIRST_RESCUE_SCREEN","RECURRING_SUPPORT","NEUTRAL_PUBLIC","GA4_TO_GA6","HOSPITAL_CORRIDOR_RESCUE","NONE_NEW_GAP","docs/05_characters/ga4-final-compact-and-crown-reference-cast-e431-450-v1.md:65","docs/10_story_architecture/detail/ga4-e361-368-episode-cards-v1.md:183","M-018","REUSE_AS_HOSPITAL_CORRIDOR_RESCUE_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","CIVIL_HOSPITAL_RESCUE_SOURCES","RESCUE_CRADLE|MEDICAL|TOW","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- keep payroll, hospitals, courts and civil liability executable and make one accountable executive available when explicitly chosen.","4. **Revised screen** — Dor accepts one higher-risk but bounded hospital-first lane with additional rescue/physical watchers and keeps the remaining force freeze intact."
"FD-033","BASE_REUSE_PROFILE","GA4_SUCCESSION_COMPACT_DISTRIBUTED_COMMAND","RECURRING_SUPPORT","JOINT_COMMON","GA4_TO_GA5","DISTRIBUTED_COMMAND_RELAY","NONE_NEW_GAP","docs/05_characters/ga4-final-compact-and-crown-reference-cast-e431-450-v1.md:73","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:44","M-006","REUSE_AS_DISTRIBUTED_COMMAND_SOFTWARE_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","DECLARED_COMPACT_SOURCE_FORMATIONS","COMMAND_LINK|ESCORT|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- retains current military ceasefire, force recognition and defense authority while armed conflict risk exists;","| IMP-CG-01 | Continuity Guard | Crown Meridian | 42 | 28 | 210 | R4 | L0 protection, succession continuity | GA4 | splits under contradictory authentic orders |"
"FD-034","EVIDENCE_HOLD","GA4_COLLAR_B_PHYSICAL_INSPECTION","RECURRING_SUPPORT","GA4_COLLAR_B","GA4","PHYSICAL_INSPECTION","NONE_NEW_GAP","docs/05_characters/ga4-pilot-parallel-governance-cast-e381-405-v1.md:16","docs/10_story_architecture/detail/ga4-e381-388-episode-cards-v1.md:118","HOLD_NO_DEPLOYED_HOST","HOLD_ROLE_OPERATION_SUPPORTED_HOST_UNPROVEN","HOLD_HOST_DEPLOYMENT_UNPROVEN","UNASSIGNED","HOLD_MECHANICAL_PROOF","HOLD_NO_HULL_STATUS","HOLD","HOLD","HOLD","ROLE_AND_OPERATION_EXIST_BUT_NO_FRAME_DEPLOYMENT_OR_COMPATIBLE_HOST_IS_PROVEN","EVIDENCE_HOLD_NOT_COUNTED","PROPOSED_NONCANON_HOLD","PASS_OPERATION_WITHIN_GA4","HOLD_HOST_FUNCTION","HOLD_CRADLE","HOLD_COOLING_RECOVERY","- GL-4 Collar B physical operations lead;","2. **Verification** — second direct sensor and manual inspection find a growing collar-brace shear crack; current safe loaded operation is rejected."
"FD-035","BASE_REUSE_PROFILE","GA5_OWNERLESS_FLEET_FORMATION_SCREEN","FACTION_SHARED","IMPERIAL_SOURCE","GA5_TO_GA10","FORMATION_SCREEN_CONTROLLED_RETREAT","NONE_NEW_GAP","docs/05_characters/ga5-fleet-commanders-and-crew-representatives-v1.md:52","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:98","M-005","REUSE_AS_OWNERLESS_FLEET_FORMATION_SCREEN_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_FLT_DECLARED_IMPERIAL_SOURCES","FLEET_CRADLE|SUPPLY|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- fleet maneuver, readiness, officer trust, controlled aggression and disciplined retreat.","| JNT-FLT-05 | Common Fleet Mission Trust | dispersed | 90–240 | 120–330 | 700–1,800 | R1–R4 | GA5 ownerless fleet missions | command expires and assets return/split |"
"FD-036","BASE_REUSE_PROFILE","GA5_CARRIER_DECK_HANDLING_SERVICE","RECURRING_SUPPORT","JOINT_COMMON","GA5_TO_GA10","DECK_HANDLING_RECOVERY","NONE_NEW_GAP","docs/05_characters/ga5-tender-maintenance-rescue-cast-e476-500-v1.md:15","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:98","M-011|M-017|M-023","REUSE_AS_DECK_SERVICE_CONFIGURATION","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_FLT_DECLARED_SOURCES","SERVICE_CRADLE|TOOLS|TOW","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- hull technician aboard mobile tender `기워진 별` and elected shift/safety representative for one repair line.","| JNT-FLT-05 | Common Fleet Mission Trust | dispersed | 90–240 | 120–330 | 700–1,800 | R1–R4 | GA5 ownerless fleet missions | command expires and assets return/split |"
"FD-037","BASE_REUSE_PROFILE","GA5_MULTI_SOURCE_COMMAND_RELAY","RECURRING_SUPPORT","JOINT_COMMON","GA5_TO_GA10","MULTI_SOURCE_COMMAND_RELAY","NONE_NEW_GAP","docs/05_characters/ga5-fleet-commanders-and-crew-representatives-v1.md:78","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:98","M-006|M-017","REUSE_AS_EXPIRING_COMMAND_KEY_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_FLT_DECLARED_SOURCES","COMMAND_LINK|ESCORT|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","Role: elected/negotiated commander of several provincial squadrons","| JNT-FLT-05 | Common Fleet Mission Trust | dispersed | 90–240 | 120–330 | 700–1,800 | R1–R4 | GA5 ownerless fleet missions | command expires and assets return/split |"
"FD-038","BASE_REUSE_PROFILE","GA5_OUTER_FRONT_EIGHTH_SCREEN_DEFENSE","FACTION_SHARED","OUTER_FRONT","GA5_TO_GA6","LOCAL_DEFENSE_SCREEN","NONE_NEW_GAP","docs/05_characters/ga5-title-recall-crown-outerfront-cast-e501-525-v1.md:15","docs/07_military/operations/ga5-e501-525-title-recall-crown-outerfront-operation-state-v1.md:179","M-005","REUSE_AS_OUTER_FRONT_LOCAL_DEFENSE_SCREEN_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","OUTER_FRONT_IMPERIAL_SOURCE","FLEET_CRADLE|SUPPLY|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- commander of Outer Front Eighth Screen and current locally recognized emergency defense administration.","- approximately 310 frames/craft."
"FD-039","BASE_REUSE_PROFILE","GA5_MOBILE_TENDER_REPAIR_RECOVERY","RECURRING_SUPPORT","MOBILE_TENDER","GA5_TO_GA7","TENDER_REPAIR_SERVICE","NONE_NEW_GAP","docs/05_characters/ga5-tender-maintenance-rescue-cast-e476-500-v1.md:47","docs/07_military/operations/ga5-e476-500-charter-tender-maintenance-pay-operation-state-v1.md:117","M-017","REUSE_AS_MOBILE_TENDER_REPAIR_RECOVERY_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","MOBILE_TENDER_SOURCE","SERVICE_CRADLE|RELAY_PARTS|TOW","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- civilian-military operations master of `기워진 별`.","- 3 support/rescue hulls regain service through linked work."
"FD-040","BASE_REUSE_PROFILE","GA6_EVACUATION_CORRIDOR_SHIELD_LINE","FACTION_SHARED","NEUTRAL_PUBLIC","GA6","EVACUATION_CORRIDOR_SHIELD","NONE_NEW_GAP","docs/05_characters/ga6-orpheus-decision-actors-v1.md:30","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:99","M-018|M-020","REUSE_AS_CORRIDOR_SHIELD_MISSION_PACKAGE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","JNT_ORP_DECLARED_SOURCES","RESCUE_CRADLE|MEDICAL|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- commander/coordinator of S-STATE military and institutional escort.","| JNT-ORP-06 | Orpheus Mixed Evacuation Command | Orpheus theater | 70–160 | 180–420 | 600–1,600 | R2–R4 | mixed evacuation and route allocation | dissolved after inquiry and survivor transfer |"
"FD-041","BASE_REUSE_PROFILE","GA6_STATE_CONTINUITY_EVACUATION_ESCORT","FACTION_SHARED","IMPERIAL","GA6","EVACUATION_ESCORT","NONE_NEW_GAP","docs/05_characters/ga6-orpheus-decision-actors-v1.md:30","docs/07_military/front-stage-formation-registry-and-loss-accounting-v1.md:51","M-005","REUSE_AS_STATE_CONTINUITY_EVACUATION_ESCORT_PROFILE","NONE_REUSE_SUFFICIENT","INHERIT_FROM_HOST","NONE_NO_NEW_MODEL_CLAIM","HOST_HULL_LEDGER_ONLY","NO_NEW_MODEL_NAME","IMP_OP_SOURCE","FLEET_CRADLE|SUPPLY|RECOVERY","REUSE_SUFFICIENT_NO_INDEPENDENT_MODEL","REUSE_PROFILE_NOT_NEW_MODEL","PROPOSED_NONCANON_MAPPING","PASS_HOST_AVAILABLE_BY_DEMAND_START","PASS_ROLE_OPERATION_HOST_MAPPING_REVIEWED","PASS_INHERIT_HOST_CRADLE_AND_CERTIFICATION","PASS_INHERIT_HOST_COOLING_AND_RECOVERY","- commander/coordinator of S-STATE military and institutional escort.","| IMP-OP-08 | Orpheus State Priority Group | Orpheus theater | 93 | 72 | 510 | R4 | state continuity evacuation | GA6 | survives materially but loses sole moral authority |"
