identity_key,korean_name,other_names_or_codes,record_type,final_tier,ga_window,faction_or_org,function_summary,tier_evidence,source_docs,alias_merge_hints,aliases
darin-veo,다린 베오,PR-ST01,PERSON,IMPORTANT_EXTRA,GA1(미래 재등장 설계),제국 보안학원 선택 학생,19세 비행/보안 생도; 미래 지역방위 에이스; 제국행 선택 후 자율 행동으로 회랑 보존; 봉쇄 거부,pref-reps PR-ST01; charter-board §6; first-100 map Ring B,pref-reps; charter-board; first-100-act-map-v2,sweep의 Darin(Ring B 제국측)=다린 베오 병합; 재등장 시 RECURRING 승격 후보,Darin Veo; PR-ST01; Darin
sera-kett,세라 케트,PR-ST02,PERSON,IMPORTANT_EXTRA,GA1,헬릭스 계약학교 선택 학생,18세 후원 기술 생도; 인증 전력/의료 서브시스템 보호,pref-reps PR-ST02; charter-board §6,pref-reps; charter-board,charter-board의 Sera=세라 케트 병합,Sera Kett; PR-ST02; Sera
yori-kess,요리 케스,PR-ST03; IC-004,PERSON,IMPORTANT_EXTRA,GA1,C-9 물류/명부,16세 명부 담당; 학생대표 A석; E45 모방 셀 물류·출입 담당; 실명부 재구성 협조,pref-reps PR-ST03; e45 IC-004,pref-reps; charter-board; e45-incident,3개 문서 동일인 병합,Yori Kess; PR-ST03; IC-004; Student Representative A
aven-rell,아벤 렐,PR-ST04; IC-001,PERSON,IMPORTANT_EXTRA,GA1,C-9 리더,C-9 임시셀 리더; E45 비살상 압박 점거 설계·개시 책임 수용; 부상; 체포/책임 수용,pref-reps PR-ST04; e45 IC-001,pref-reps; e45-incident; ga1 상태문서,PR-ST04와 IC-001 동일인 병합(C-9 리더·E45 책임 일치); Aven Rho와 별개,Aven Rell; PR-ST04; IC-001
kiro-bent,키로 벤트,IC-002,PERSON,IMPORTANT_EXTRA,GA1,C-9 모방 셀,복제 서비스 어댑터 제작; 손·신경 화상; 기술 거버넌스 아크의 실물 근거,e45 IC-002,e45-incident; pref-reps(언급),pref-reps의 부상자 Kiro=키로 벤트 병합,Kiro Bent; IC-002; Kiro
leta-sorn,레타 손,IC-003,PERSON,IMPORTANT_EXTRA,GA1,C-9/블랙워드 연계,숨은 블랙워드 치료 프로필 보유; 위중 환자로 블랙워드 발견 단서; 자기결정권 보유,e45 IC-003,e45-incident; ga1 상태문서,sweep의 Leta=레타 손 병합(추정); 블랙워드 아크 열쇠 — 승격 후보,Leta Sorn; IC-003; Leta
varen-korr,바렌 코르,Varen Korr,PERSON,IMPORTANT_EXTRA,GA1,학원 운영부,운영국장 대행; 286명 비밀 제국이송 공동서명; E100 후 조사 대상,charter-board §6,charter-board,후일 운명 OPEN,Varen Korr
rosen-tekk,로센 테크,Rosen Tekk,PERSON,IMPORTANT_EXTRA,GA1,학원 보안대,보안 지휘관 대행; 링B 봉쇄 명령; 넬리 오름 사망 사슬 기여,charter-board §6,charter-board,후일 운명 OPEN,Rosen Tekk
arden-rek,아르덴 레크,Arden Rek,PERSON,IMPORTANT_EXTRA,GA1,제국 이송군,제국 이송부대 지휘관; 합법 이송 집행; 다린이 거부한 봉쇄 명령 주체; 악당 아님,charter-board §6,charter-board,,Arden Rek
del-var,델 바르,Del Var,PERSON,IMPORTANT_EXTRA,GA1,헬릭스 재무/보안,지역 회수 책임자; 원격 잠금·압류 발동; 루스크 이덴 인과 기여,charter-board §6,charter-board,베릭 칼과 대립,Del Var
selma-rowe,셀마 로우,Selma Rowe,PERSON,IMPORTANT_EXTRA,GA1,중립 구조선,구조/청구 선박 선장; 무장해제·항로 집행권; 무기 화물 거부,charter-board §6,charter-board,루엔 파르와 권한 분리,Selma Rowe
oran-kell,오란 켈,Oran Kell,PERSON,IMPORTANT_EXTRA,GA1(후속 선전 활동),스코치드/급진 세포,급진 부정 조정자; 베라 콜 부정팀 상급자; 생존해 후일 선전 행위자 지속,charter-board §6,charter-board,재등장 예고 — 승격 후보,Oran Kell
teren-voss,테렌 보스(GA1),Teren Voss,PERSON,IMPORTANT_EXTRA,GA1,학원 교정/법무,학원 법무 대행 행정관; 이사회 학원석·현지 비준 서명,charter-board §3·§5,charter-board,GA4 크라운 가계 테렌 보스(Teren Vos)와 동일 한글 표기 — 별개 인물 추정·정본 확인 필요(unresolved),Teren Voss
iven-sol,이벤 솔,SG-D01,PERSON,IMPORTANT_EXTRA,GA1(E84-96 사망),학원 보안(이송 지지),36세 독D 보안 장교; 충돌/감압 사고 사망(포위전 5대 사망 1),casualties SG-D01,academy-siege-casualties; first-100-act-map-v2,sweep의 역할 미확인 행을 casualties 근거로 확정; 사망 고정,Iven Sol; SG-D01
nelli-orm,넬리 오름,SG-D02,PERSON,IMPORTANT_EXTRA,GA1(사망),무소속 학생,17세 링B 생도; 명부/문/군중 충돌 압사(5대 사망 2); 정치적 전유 불가,casualties SG-D02,academy-siege-casualties; charter-board; first-100-act-map-v2,사망 고정,Nelli Orm; SG-D02
rusk-iden,루스크 이덴,SG-D03,PERSON,IMPORTANT_EXTRA,GA1(사망),학원 노동자(링C 전력),47세 전력 기술자·안전대표; 잠금/사보타주 연쇄 사망(5대 사망 3); 유족 청구 후속 플롯,casualties SG-D03,academy-siege-casualties; charter-board; first-100-act-map-v2,사망 고정,Rusk Iden; SG-D03
vera-khol,베라 콜,SG-D04,PERSON,IMPORTANT_EXTRA,GA1(사망),스코치드/급진,30세 부정 공작원; 독D 작전 중 사망(5대 사망 4); 순교자 서사로 소비됨,casualties SG-D04,academy-siege-casualties; charter-board,베라 토른과 별개(이름 충돌 관리); 사망 고정,Vera Khol; SG-D04
toma-ess,토마 에스,SG-D05,PERSON,IMPORTANT_EXTRA,GA1(사망),블랙워드/공공 클리닉,34세 의료 기술자; 지연 이송 위기 사망(5대 사망 5); 분권 전환 비용 증거,casualties SG-D05,academy-siege-casualties; prewriting-dry-audit,Toma Cal(GA3)과 별개; 사망 고정,Toma Ess; SG-D05
lera-mott,레라 모트,WD-P01,PERSON,IMPORTANT_EXTRA,GA1(GA2 접촉 가능),White Dock 압력통제,압력통제 관리관·비상경로 조정자; 원격 군사명령 거부; E25-31 증인,white-dock-focals WD-P01,white-dock-focals; white-dock 상태문서,Kera Mott(GA3)와 1음절 차 — 별개,Lera Mott; WD-P01
oden-marr,오덴 마르,WD-P02,PERSON,IMPORTANT_EXTRA,GA1,White Dock 화물,작업반장; 위조 통관 저지 시도; 척추·하지 신경 영구 손상; 보상 청구 아크,white-dock-focals WD-P02,white-dock-focals; white-dock 상태문서,,Oden Marr; WD-P02
kiva-dren,키바 드렌,WD-D01,PERSON,IMPORTANT_EXTRA,GA1(E21-24 사망),White Dock 전기 리거,복합 실패 사슬로 사망; 마지막 수동 격리 기록; 유족·동료 이의 아크,white-dock-focals WD-D01,white-dock-focals; white-dock 상태문서,사망 고정,Kiva Dren; WD-D01
miro-tann,미로 탄,WD-D02,PERSON,IMPORTANT_EXTRA,GA1(사망),White Dock 미등록 노동,미등록으로 수색 누락되어 사망; 등록/실제 인원 주제 증거,white-dock-focals WD-D02,white-dock-focals; white-dock 상태문서,사망 고정,Miro Tann; WD-D02
darek-venn,다렉 벤,WD-D03,PERSON,IMPORTANT_EXTRA,GA1(사망),독립군 급진파,파괴부정 명령 수행 중 사망; 사후 급진 선전에 이용,white-dock-focals WD-D03,white-dock-focals; white-dock 상태문서,사망 고정; Venn 성 계열 충돌 관리,Darek Venn; WD-D03
sian-tor,시안 토르,IND-P01,PERSON,IMPORTANT_EXTRA,GA1(GA2 갈등 예고),독립군 회수 기술자→중립 보호,기록·의료 추출 공작원; 버려져 중상; 중립 보호 하 증인; 팀 미합류,white-dock-focals IND-P01,white-dock-focals; ga1 상태문서,GA2 재사용 확정 시 승격 후보,Sian Tor; IND-P01
juno-hess,유노 헤스,Juno Hess,PERSON,IMPORTANT_EXTRA,GA1,학원 독립 셀,독립 지원 셀 리더; 예비 조사 소환,ga1-e21-26 카드,ga1 카드 문서군,F-검증 정정: 센서스가 '주노 헤스'로 오기했으나 정본 표기는 '유노 헤스'(academy-and-07-opening-operational-state-v1). 정본 표기로 복원,Juno Hess
soma-ren,소마 렌(표기 미확정),Soma Ren,PERSON,IMPORTANT_EXTRA,GA1,학원(신분 폐쇄),행정상 사망·물리적 생존 인물; 신분 시스템 결함 증인,first-100-act-map-v2,first-100-act-map-v2; ga1 카드,NOT_IN_05,Soma Ren
jena-ark,제나 아크,OF-801,PERSON,IMPORTANT_EXTRA,GA2(E150 사망; GA8 유산),민간 수리 카라반,선임 압력·냉각 기술자; E150 영구 사망; 사후 규격·별관에 이름 존속(제나 규격),roster §15; ga2 카드,ordinary-roster; ga2 카드 문서군,사망 고정; 사후 명명 Jena Annex,Jena Ark; OF-801; 제나 규격(사후)
ovel-nar,오벨 나르,Ovel Nar,PERSON,IMPORTANT_EXTRA,GA2,네리스 사용자 안전,현장 정비사·사용자 안전 대표; 개방규격 사고 국면 물리 분기,ga2-e186-193 카드,ga2 카드·상태문서,NOT_IN_05,Ovel Nar
pc-004,(미명명),PC-004,PERSON,IMPORTANT_EXTRA,GA2(E161-185),도란 K-7 공동체,인증 루트 옹호자; 본인+부양 2인 Helix 도제 계약 수용 가능,h001-roster §3,h001-community-roster,정본명 미부여 코드 인물,PC-004
pc-005,(미명명),PC-005,PERSON,IMPORTANT_EXTRA,GA2,도란 K-7 공동체,분리를 원하는 돌봄 제공자; 서사적 처벌 금지 규칙,h001-roster §3,h001-community-roster,정본명 미부여,PC-005
pc-006,(미명명),PC-006,PERSON,IMPORTANT_EXTRA,GA2,도란 K-7 공동체,경쟁 후견의 11-15세 아동; 능력·동의 기반 결정,h001-roster §3,h001-community-roster,정본명 미부여,PC-006
pc-007,(미명명),PC-007,PERSON,IMPORTANT_EXTRA,GA2,도란 K-7 공동체,중앙 안정 지지 고령 노동자; 제국/Helix 안정 루트 선택,h001-roster §3,h001-community-roster,정본명 미부여,PC-007
toma-cal,토마 칼,GA3-LOC-001,PERSON,IMPORTANT_EXTRA,GA3(E322 사망),앵커 크라운 운영,수석 교대 조정관; E239 오판으로 루마 펠 중상; E322 영구 사망 잠금; 물리 상태를 레마 도르에 이양,ga3-ardis §2; ga3-final §3,ga3 문서군; date-override,Toma Ess와 별개; GA3 관통 최중요 국지 인물이나 단일 GA — IMPORTANT_EXTRA 유지,Toma Cal; GA3-LOC-001; 토마 조정관
kera-mott,케라 모트,GA3-LOC-002,PERSON,IMPORTANT_EXTRA,GA3,파운드리 라인3 노동자 대표,선출 교대 대표; 1260명 임금·안전 대변; 필수한정 점거 주도,ga3-ardis §3,ga3 문서군,Lera Mott와 별개,Kera Mott; GA3-LOC-002
savo-nir,사보 니르,GA3-LOC-003,PERSON,IMPORTANT_EXTRA,GA3,트랜짓 벨트 상호부조,유틸리티·화재 대응 조정자; 비정규 거주자 서비스 접근권 투쟁,ga3-ardis §4,ga3 문서군,,Savo Nir; GA3-LOC-003
della-wen,델라 웬,GA3-LOC-004,PERSON,IMPORTANT_EXTRA,GA3,시빅 임시서비스 등록소,등록관·배치 조정관; 시민권 부여 권한 없음,ga3-ardis §5,ga3 문서군,Della Os와 별개,Della Wen; GA3-LOC-004
iven-kor,이븐 코르,GA3-LOC-005,PERSON,IMPORTANT_EXTRA,GA3,헬릭스 인증 복구,복구 관리자·급여패키지 협상가; 통합 관리 선례를 노리는 통제 이해,ga3-ardis §6,ga3 문서군,Iven Roa·Iven Sol과 별개,Iven Kor; GA3-LOC-005
luma-pell,루마 펠,GA3-LOC-006,PERSON,IMPORTANT_EXTRA,GA3-4,유틸리티 프레임 작업반,프레임 리드; E239 골반·신경 손상; 7-12개월 복귀 제한; 기적 회복 금지,ga3-ardis §7,ga3 문서군; ga4-pilot(언급),Nira Pell과 무관 명시,Luma Pell; GA3-LOC-006
tir-vano,티르 바노,GA3-LOC-007,PERSON,IMPORTANT_EXTRA,GA3,라인3 노동자,크레인 오퍼레이터·간병인; 중앙화 패키지 선택 노동자의 대표 사례,ga3-ardis §8,ga3 문서군,,Tir Vano; GA3-LOC-007
sella-kove,셀라 코브,GA3-DEF-001,PERSON,IMPORTANT_EXTRA,GA3,아르디스 국지 방위,임시 조정관·즉응 프리깃 함장; 리안 총지휘 거부; E330 이후 방위 분야만 유지,ga3-defense §1; ga3-final §6,ga3 문서군,AR-DEF-001 현직 추정(UNCERTAIN); Sela Ruk과 별개,Sella Kove; GA3-DEF-001
doman-rek,도만 레크,GA3-DEF-002,PERSON,IMPORTANT_EXTRA,GA3,제국 제4 커터분견대,분견대 지휘관; 지연된 제국 계통 인정; 무적대행위 조건 이탈; 배신자 예정 금지,ga3-defense §2,ga3 문서군,,Doman Rek; GA3-DEF-002
seva-lok,세바 로크,GA3-HLX-001,PERSON,IMPORTANT_EXTRA,GA3,헬릭스 콜드체인 데포,운영 리드; 환자 연속성 조항으로 본사 명령 지연; 21일 협약 잔류,ga3-defense §3,ga3 문서군,이븐 코르와 같은 기관·다른 위임,Seva Lok; GA3-HLX-001
miren-das,미렌 다스,GA3-CIV-001,PERSON,IMPORTANT_EXTRA,GA3,가든-시빅 콜드체인,디스패치 조정자; E282 캐스케이드 생존; 영구 저산소성 신경 손상 잠금,ga3-defense §4,ga3 문서군,,Miren Das; GA3-CIV-001
eda-roen,에다 로엔,GA3-CUS-001,PERSON,IMPORTANT_EXTRA,GA3,커스토디언 칼리지,비상계통 기록관; Spine C 인터페이스·거부 증거 관리인,ga3-denial §1,ga3 문서군,,Eda Roen; GA3-CUS-001
varen-soot,바렌 수트,GA3-FED-001,PERSON,IMPORTANT_EXTRA,GA3,표면 시설/연방파,거부-정비 반장; 연방주의 자치 지지; E330 경계된 기술 감시역 유지,ga3-denial §2; ga3-final §8,ga3 문서군,,Varen Soot; GA3-FED-001
iris-kaun,이리스 카운,GA3-IMP-001,PERSON,IMPORTANT_EXTRA,GA3,제국 임무단,코모도어·비상지휘 특사; 실효 구조 능력으로 의존 창출; E319 전권 인수 명령 기록하되 선포 거부,ga3-denial §3; ga3-final §5,ga3 문서군,경쟁 권위 축이나 GA3 한정 — IMPORTANT_EXTRA,Iris Kaun; GA3-IMP-001
ari-ven,아리 벤,GA3-TRN-001,PERSON,IMPORTANT_EXTRA,GA3,트랜짓 해비탯 T-19,운영 감독관·선출 안전 연락책; T-19 상실 선언; 생존자 6222명 증거 조정,ga3-denial §4; ga3-final §4,ga3 문서군,Ven/Venn 계열 충돌 관리,Ari Ven; GA3-TRN-001
rema-dor,레마 도르,GA3-ANC-002,PERSON,IMPORTANT_EXTRA,GA3,앵커 크라운 운영,부교대 조정관; E322 토마 사후 물리 역할만 인수(개인 승계 거부); 회전 패널 구성,ga3-final §2,ga3 문서군,후계자 지름길 서사 금지 잠금; Dor Kein과 무관,Rema Dor; GA3-ANC-002
teren-vos,테렌 보스(GA4),Teren Vos,PERSON,IMPORTANT_EXTRA,GA4-9,크라운 왕가 가계,가계 민정 부관; 공공 청원·의전 일정 관리; Elian 유고 시 가사·시민서비스만 승계,ledger §2; succession-table §3,officeholders-ledger; succession-table,sweep의 Teren(승계자) 병합; GA1 테렌 보스(Teren Voss)와 동일 표기 별개 인물 추정(unresolved),Teren Vos; Teren
irel-dan,이렐 단,GA4-K5-001,PERSON,IMPORTANT_EXTRA,GA4,Crownline Key Relay K-5,물리 운용 리드; 직접 물리 정지 발령; 92% 인증 평가 수용,ga4-post-pilot §1; ga4-final §5,ga4 문서군,두 문서 동일인 병합,Irel Dan; GA4-K5-001
mona-ver,모나 베르,GA4-K5-002,PERSON,IMPORTANT_EXTRA,GA4,K-5 영향서비스 조정,5관할 부속조건 조정자; 76만명 서비스 범위; 임무 한정 위임,ga4-post-pilot §2,ga4 문서군,베르 표기 충돌 관리(다오 베르·요나 베르); 근사 동명 주의: Yona Ver(ledger)와 별개 인물,Mona Ver; GA4-K5-002
rasen-kor,라센 코르,GA4-SES-001,PERSON,IMPORTANT_EXTRA,GA4,단일 임시주권 청원(합법 야당),청원 법률고문·공적 조정자; 합법적 경쟁 구제안 대변; 최종 악역 금지,ga4-post-pilot §3; ga4-final §7,ga4 문서군,GA5 이후 재등장 여지 명시,Rasen Kor; GA4-SES-001
ora-fenn,오라 펜,GA4-GRB-001,PERSON,IMPORTANT_EXTRA,GA4,Graybridge N-17,물리 회랑 운용 조정자; 62만명 서비스 범위의 통치자 아님,ga4-graybridge §1,ga4 문서군,Ora Niv와 별개,Ora Fenn; GA4-GRB-001
vern-soa,베른 소아,GA4-GRB-002,PERSON,IMPORTANT_EXTRA,GA4,Graybridge 이동·미등록 서비스,미등록 가구 접촉 창구; 3200명 현재증명 공급,ga4-graybridge §2,ga4 문서군,Soa Rin과 로마자 역순 유사 — 별개,Vern Soa; GA4-GRB-002
fera-jin,페라 진,GA4-MER-001,PERSON,IMPORTANT_EXTRA,GA4,Meridian M-4 Corridor 1,물리상태 운용자; E372-373 올바른 정지 발령(97초 지연 작동); 컴팩트 재설계 당사자,ga4-graybridge §3,ga4 문서군,,Fera Jin; GA4-MER-001
raul-beck,라울 베크,Raul Beck,PERSON,IMPORTANT_EXTRA,GA4(사망),MSV-22 다리별 승무원,교량·조종 사관; Meridian 사고 영구 사망자,ga4-graybridge §4,ga4 문서군,사망 고정,Raul Beck
hesra-moon,헤스라 문,Hesra Moon,PERSON,IMPORTANT_EXTRA,GA4(사망),MSV-22 다리별 승무원,콜드체인 기술자; Meridian 사고 영구 사망자,ga4-graybridge §4,ga4 문서군,사망 고정,Hesra Moon
nira-pell,니라 펠,GA4-GL4-001,PERSON,IMPORTANT_EXTRA,GA4,GL-4 Collar B,물리 운용 리드; 첫 직접 파일럿 정지 발령; Collar B 폐쇄 유지,ga4-pilot §1,ga4 문서군,Luma Pell과 무관 명시,Nira Pell; GA4-GL4-001
kano-riss,카노 리스,GA4-PC7-001,PERSON,IMPORTANT_EXTRA,GA4,PC-7 노선 노동,3개 승무단 선출 조정자; 계층형 노선 증명 고안,ga4-pilot §2,ga4 문서군,,Kano Riss; GA4-PC7-001
yara-venn,야라 벤,GA4-M4-001,PERSON,IMPORTANT_EXTRA,GA4(E401 사망),M-4 유틸리티/MUT-6,이송 엔지니어·선임 시스템 리드; E401 수동 격리 유지로 병원 정전 방지 후 영구 사망(복제·비밀 생존 금지),ga4-pilot §3,ga4 문서군,Jora Venn과 무관 명시; 사망 고정,Yara Venn; GA4-M4-001
sol-venn,솔 벤,GA4-M4-FAM-001,PERSON,IMPORTANT_EXTRA,GA4,MUT-6 유족,Yara Venn의 손위 형제·가족 접촉 창구; 단일 임시주권 지지(개인 위임 한정),ga4-post-pilot §4,ga4 문서군,,Sol Venn; GA4-M4-FAM-001
kian-ro,키안 로,GA4-M4-CREW-001,PERSON,IMPORTANT_EXTRA,GA4,MUT-6 생존 승무원,생존 기술자·승무원 조사 대표; 운용자 무시에 반대,ga4-post-pilot §5,ga4 문서군,,Kian Ro; GA4-M4-CREW-001
nael-tiv,나엘 티브,OF-401,PERSON,IMPORTANT_EXTRA,GA4(GA9-10 재사용),코어 민정 급여·신원,급여·신원 서기·노조 대표; 급여 지속으로 수천 가구 구제,roster §2,ordinary-roster,,Nael Tiv; OF-401
rev-oan,레브 오안,OF-402,PERSON,IMPORTANT_EXTRA,GA4(GA8-10 재사용),크라운 가드→시민보호청,의전 훈련생; 위조 의전 기록 거부; 후에 셀라 루크 휘하 장교,roster §3; errata-002,ordinary-roster; errata-002,구명 레브 이안(Rev Ian) — errata-002 최종명 레브 오안; 아르도 레브와 레브 충돌 관리,Rev Oan; OF-402; 레브 이안(구명); Rev Ian(구명)
mora-hes,모라 헤스,OF-403,PERSON,IMPORTANT_EXTRA,GA4(GA10 재사용),코어 병원 보급,병원 보급 감독; 불평등 우선순위 폭로 조력,roster §4,ordinary-roster,,Mora Hes; OF-403
lio-saren,,Lio Saren,PERSON,IMPORTANT_EXTRA,GA5,V09 민간·물류 조정(선출),외곽전선 민간·물류 조정자·민사 견제축; 병원·가구·노동자 데이터 요구; 공적 비용·감사 요구,ga5-title §2; ga5-outerfront §2,ga5 문서군,GA5 관계 언급 Lio 병합; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 리오 사렌),Lio Saren; Lio
sana-brik,사나 브릭,OF-502,PERSON,IMPORTANT_EXTRA,GA5(GA8 재사용),이동 텐더 기워진 별,선체 기술자·선출 안전 대표; E485 손·신경 중상(기적회복 금지); GA8 베스퍼 노동자 권리 조직,ga5-tender §1; roster §6,ga5 문서군; ordinary-roster,,Sana Brik; OF-502
kelin-ors,,Kelin Ors,PERSON,IMPORTANT_EXTRA,GA5-6,이동 텐더 기워진 별,민군 겸용 텐더 운용장; 중립성·계약 보호; 명명된 지원임무만 서명,ga5-tender §2,ga5 문서군,Kael Ors와 별개(유사음 관리); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 켈린 오르스),Kelin Ors
neris-holt,,Neris Holt,PERSON,IMPORTANT_EXTRA,GA5,구조된 267인 임시 대표,생명유지 전문가 출신 구조자 대표; 집단구금·자동입대 방지,ga5-tender §3,ga5 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 네리스 홀트),Neris Holt
jora-venn,,Jora Venn,PERSON,IMPORTANT_EXTRA,GA5,베스퍼 피해자 연합,피해자·가족 대표; 증거 분할사본·선체 재사용 금지 요구,ga5-tender §4,ga5 문서군,Yara Venn과 무관 명시(성 일치 우연); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 조라 벤),Jora Venn
rami-ode,,Captain Rami Ode,PERSON,IMPORTANT_EXTRA,GA5,구축함 DD-417 세 번째 종,함장; 정치자산화 거부; 한정된 도르 전술 위임 수락,ga5-vesper §7,ga5 문서군,CAP-001은 마렌 도브로 잠금 — 라미 오데는 별개; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 라미 오데),Rami Ode
kev-raon,케브 라온,OF-501,PERSON,IMPORTANT_EXTRA,GA5-6,세 번째 종 승무원 대표,선출 대표·탄약수; 체불급여·가족지원 회복; 합법 태업으로 탄약사고 방지; GA6 생존 후 제대,ga5-vesper §8; roster §5,ga5 문서군; ordinary-roster,,Kev Raon; OF-501
leda-voss,,Chief Engineer Leda Voss,PERSON,IMPORTANT_EXTRA,GA5,세 번째 종 기관부,기관장; 열 한계 초과 인증 저지; 전투 중 열 정지 강행,ga5-vesper §9,ga5 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 레다 보스),Leda Voss
ilya-fen,,Ilya Fen,PERSON,IMPORTANT_EXTRA,GA5,베스퍼 연료척추 4,현장 운용 책임자; 무장 압력에도 물리 적색 정지 유지; 43% 우회 공동설계,ga5-vesper §10,ga5 문서군,Ilya Serr와 별개; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 일리야 펜),Ilya Fen
mir-kao,미르 카오,OF-503,PERSON,IMPORTANT_EXTRA,GA5(GA7 재사용),지방 콜벳 오래된 계절,항해사; 74초 충돌 계산으로 386명 구조; 다리·전정 중상; 형제 후견 청문 귀향(합법적 퇴장); 후에 항로연합 항법사,ga5-vesper §11; roster §7; errata-002,ga5 문서군; ordinary-roster; errata-002,구명 도안 미르(Doan Mir) — errata-002 최종명 미르 카오; GA5 금지조항의 Doan 언급 병합; 하렌 도안 가와 무관 명시,Mir Kao; OF-503; 도안 미르(구명); Doan Mir(구명); Doan
sira-talren,,Sira Talren,PERSON,IMPORTANT_EXTRA,GA5,프로빈셜 포크,Provincial 7/7 축 대표(최종 캠페인),ga5-e551-570 상태문서,ga5 상태문서,Sira Keon과 별개(이름 Sira 중복); NOT_IN_05; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 시라 탈렌(표기 미확정)),Sira Talren
yura-fein,유라 페인,Yura Fein,PERSON,IMPORTANT_EXTRA,GA5-10,승조원 사무소,생존자 급부·가족 배당 조정자; 단순화된 사상자 정산에 저항,ledger §10; succession-table §5,officeholders-ledger; succession-table,sweep의 Yura(승무원 청구) 병합,Yura Fein; Yura
mar-tein,마르 테인,Mar Tein,PERSON,IMPORTANT_EXTRA,GA5-10,지방방위,모성계 병참·예비대 부사령; GA10 지역 철수 권한 공동 대표,ledger §7,officeholders-ledger,,Mar Tein
bako-sid,바코 시드,Bako Sid,PERSON,IMPORTANT_EXTRA,GA5-8,정비창,노동자평의회 연락·수리모함 함장; GA7-8 분산 정비망 운영권 인수,ledger §9,officeholders-ledger,,Bako Sid
nada-soren,나다 소렌,OR-CIV-001,PERSON,IMPORTANT_EXTRA,GA6,민간 호송 협의체,호송 조정자·전 지자체 공무원; 5개 협의회 구성; 보편 선장 명령 거부,ga6 §2; ledger §12,ga6 문서군; officeholders-ledger,OR-CIV-001 현직=나다 소렌; 소렌 비아와 소렌 표기 충돌 관리,Nada Soren; OR-CIV-001
deon-har,데온 하르,OR-NODE-001,PERSON,IMPORTANT_EXTRA,GA6,오르페우스 노드 운영,노드 관리자; 고부하 정지 유지·36% 한정 수용; 불평등 보호 증거로 단독 관리권 박탈,ga6 §5; ledger §14,ga6 문서군; officeholders-ledger,OR-NODE-001 현직=데온 하르; 하렌과 음절 근접 관리,Deon Har; OR-NODE-001
lea-nor,,OR-HOLD-001(GA6 캐스트),PERSON,IMPORTANT_EXTRA,GA6,잔류자 대표,잔류/강제잔류자 대표; 자발/강제 잔류 상태 분리 요구,ga6 §6,ga6 문서군,OR-HOLD-001 코드가 ledger에서는 루마 세트에 배정 — 이중 배정 미해결(unresolved); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 레아 노르),Lea Nor; OR-HOLD-001(경합)
luma-set,루마 세트,OR-HOLD-001(ledger),PERSON,IMPORTANT_EXTRA,GA6,잔류자 대표,오르페우스 잔류·피점령 공동체 대표; 보급·방어·항복 협상,ledger §15,officeholders-ledger,OR-HOLD-001 이중 배정의 다른 축 — 미해결(unresolved); 루마 펠과 별개,Luma Set; OR-HOLD-001(경합)
en-roka,엔 로카,En Roka,PERSON,IMPORTANT_EXTRA,GA6,잔류자,환자·간병인 대표; 귀환·실종자 청구 지도,ledger §15,officeholders-ledger,근사 동명 주의: Ben Rok(roster)과 별개 인물,En Roka
sev-ro,세브 로,Sev Ro,PERSON,IMPORTANT_EXTRA,GA6,오르페우스 노드,열·전력 교대 리더; 기술권 승계,ledger §14,officeholders-ledger,이마 로·키안 로와 로 표기 충돌 관리,Sev Ro
muren-kas,무렌 카스,OR-ORD-001; OF-603,PERSON,IMPORTANT_EXTRA,GA6(GA8-9 재사용),노드 열관리 작업조,열 수리 노동자; 대피 부하·수렴 용량 정량 비교; 불평등 대피 보호 폭로,ga6 §7; roster §10,ga6 문서군; ordinary-roster,,Muren Kas; OR-ORD-001; OF-603
tiren-o,티렌 오,OR-ORD-002; OF-602,PERSON,IMPORTANT_EXTRA,GA6(GA10 재사용),민간(아동/후견),경합 후견 하의 12세 아동; 후견/이동 권한 분리 강제; GA10 학교·신원 전환 포컬,ga6 §8; roster §9,ga6 문서군; ordinary-roster,성 1음절 O — 명명 정책 경계 사례,Tiren O; OR-ORD-002; OF-602
soa-rin,소아 린,OR-ORD-003; OF-604,PERSON,IMPORTANT_EXTRA,GA6 이후,민간 화물선,화물 선장; 농업 화물 보존·승객 환산 감소 수용; 수용지역 협동조합 창설자,ga6 §9; roster §11,ga6 문서군; ordinary-roster,메사 린·린 오사와 린 표기 충돌 관리,Soa Rin; OR-ORD-003; OF-604
soren-via,소렌 비아,Soren Via,PERSON,IMPORTANT_EXTRA,GA6,공공서비스,인력·목적지 통합 장교; 지역 병원·서비스망 관리; 일상 호칭 소렌,ledger §11; errata-002,officeholders-ledger; errata-002,구명 소렌 미아(Soren Mia) — errata-002 최종명 소렌 비아; 미아 렌츠 충돌 회피 개명,Soren Via; 소렌 미아(구명); Soren Mia(구명)
